Dataset,Critério,Kappa
group13,well_formed.no_role,
group13,well_formed.no_means,0.0
group13,minimal.brackets,1.0
group13,minimal.indicator_repetition,0.0
group13,atomic.conjunctions,0.11779769526248396
group13,unique.identical,0.0
group13,uniform.uniform,0.0
group21,well_formed.no_role,
group21,well_formed.no_means,0.0
group21,minimal.brackets,0.0
group21,minimal.indicator_repetition,0.0
group21,atomic.conjunctions,0.25900189513581817
group21,minimal.puctuation,0.0
group21,unique.identical,0.0
group21,uniform.uniform,0.0
group28,well_formed.no_role,
group28,well_formed.no_means,
group28,minimal.brackets,
group28,minimal.indicator_repetition,
group28,atomic.conjunctions,0.7942857142857143
group28,minimal.puctuation,
group28,unique.identical,0.0
group28,uniform.uniform,0.0
group3,well_formed.no_role,0.0
group3,well_formed.no_means,0.0
group3,minimal.brackets,
group3,minimal.indicator_repetition,
group3,atomic.conjunctions,0.1302998965873836
group3,minimal.puctuation,0.0
group3,unique.identical,-0.04819277108433728
group3,uniform.uniform,-0.015137180700094621
group4,well_formed.no_role,0.0
group4,well_formed.no_means,0.0
group4,minimal.brackets,
group4,minimal.indicator_repetition,0.0
group4,atomic.conjunctions,0.15061549601737867
group4,minimal.puctuation,
group4,unique.identical,0.19413092550790056
group4,uniform.uniform,0.1947368421052632
