Dataset,Critério,Kappa
g13_esp1.csv,well_formed.no_role,1.0
g13_esp1.csv,well_formed.no_means,0.0
g13_esp1.csv,atomic.conjunctions,0.6580645161290323
g13_esp1.csv,minimal.punctuation,0.0
g13_esp1.csv,minimal.brackets,1.0
g13_esp1.csv,minimal.indicator_repetition,1.0
g13_esp1.csv,unique.identical,1.0
g13_esp1.csv,uniform.uniform,0.6580645161290323
g21_esp1.csv,well_formed.no_role,0.0
g21_esp1.csv,well_formed.no_means,1.0
g21_esp1.csv,atomic.conjunctions,0.6461538461538461
g21_esp1.csv,minimal.punctuation,0.703862660944206
g21_esp1.csv,minimal.brackets,0.0
g21_esp1.csv,minimal.indicator_repetition,0.7346153846153847
g21_esp1.csv,unique.identical,1.0
g21_esp1.csv,uniform.uniform,0.9068825910931174
g28_esp1.csv,well_formed.no_role,1.0
g28_esp1.csv,well_formed.no_means,1.0
g28_esp1.csv,atomic.conjunctions,0.9494949494949495
g28_esp1.csv,minimal.punctuation,0.0
g28_esp1.csv,minimal.brackets,0.0
g28_esp1.csv,minimal.indicator_repetition,1.0
g28_esp1.csv,unique.identical,1.0
g28_esp1.csv,uniform.uniform,1.0
